Provincia,Region,Año,Tipo_Año,Escenario,Población_Total,Población_18_65,Tasa_Donacion_x1000,Donantes_Anuales,Donantes_OMS_Necesarios,Brecha_Donantes,Pct_Cumplimiento_OMS,Pct_Educacion_Superior,Tasa_Desempleo,Centros_Hemoterapia,Campañas_Donacion_Anuales,Casos_Dengue_Anual
CABA,Centro,2030,Proyectado,base,3294607,2103218,22.61113511904762,74495.0,98838,24343.0,75.37,24.179999999999755,2.285999999999831,3.0,138.0,122476.0
CABA,Centro,2015,Histórico,historico,2875965,1835965,21.57,62035.0,86279,24244.0,71.9,21.23,9.01,2.0,45.0,182.0
CABA,Centro,2016,Histórico,historico,2912742,1859442,21.51,62653.0,87382,24729.0,71.7,21.61,8.21,2.0,45.0,170.0
CABA,Centro,2017,Histórico,historico,2919241,1863591,21.86,63815.0,87577,23762.0,72.87,23.49,7.44,2.0,53.0,12.0
CABA,Centro,2018,Histórico,historico,2957554,1888050,21.78,64416.0,88727,24311.0,72.6,22.21,7.18,2.0,48.0,266.0
CABA,Centro,2019,Histórico,historico,2979563,1902100,20.82,62035.0,89387,27352.0,69.4,22.57,8.59,3.0,34.0,24.0
CABA,Centro,2020,Histórico,historico,3007793,1920121,17.66,53118.0,90234,37116.0,58.87,24.21,10.75,3.0,23.0,6863.0
CABA,Centro,2021,Histórico,historico,3046988,1945143,17.87,54450.0,91410,36960.0,59.57,25.01,10.88,3.0,20.0,6.0
CABA,Centro,2022,Histórico,historico,3070138,1959921,22.16,68034.0,92104,24070.0,73.87,23.36,6.65,3.0,47.0,9.0
CABA,Centro,2023,Histórico,historico,3105185,1982295,22.53,69960.0,93156,23196.0,75.1,24.02,8.26,3.0,65.0,510.0
CABA,Centro,2024,Histórico,historico,3119165,1991219,21.44,66875.0,93575,26700.0,71.47,24.66,7.93,3.0,60.0,73098.0
CABA,Centro,2025,Proyectado,optimista,3154136,2013544,22.160169404761895,69896.0,94624,24728.0,73.87,26.647499999999887,6.415999999999713,3.4499999999999997,118.5,55989.0
CABA,Centro,2026,Proyectado,optimista,3182230,2031479,22.41568220238094,71332.0,95467,24135.0,74.72,26.637599999999853,5.589999999999691,3.4499999999999997,136.5,69287.0
CABA,Centro,2027,Proyectado,optimista,3210324,2049414,22.64684499999999,72704.0,96310,23606.0,75.49,26.627699999999823,4.763999999999669,3.4499999999999997,154.5,82584.0
CABA,Centro,2028,Proyectado,optimista,3238418,2067349,22.63469809523809,73301.0,97153,23852.0,75.45,26.617799999999797,3.937999999999647,3.4499999999999997,171.0,95882.0
CABA,Centro,2029,Proyectado,optimista,3266512,2085283,22.643331309523806,73965.0,97995,24030.0,75.48,26.607899999999763,3.1119999999996253,3.4499999999999997,189.0,109179.0
CABA,Centro,2030,Proyectado,optimista,3294607,2103218,22.652207619047616,74630.0,98838,24208.0,75.51,26.597999999999733,2.285999999999831,3.4499999999999997,207.0,122476.0
CABA,Centro,2025,Proyectado,pesimista,3154136,2013544,22.013413928571417,69433.0,94624,25191.0,73.38,24.224999999999895,7.699199999999655,3.0,67.14999999999999,83983.5
CABA,Centro,2026,Proyectado,pesimista,3182230,2031479,22.26770821428571,70861.0,95467,24606.0,74.23,24.215999999999866,6.707999999999629,3.0,77.35,103930.5
CABA,Centro,2027,Proyectado,pesimista,3210324,2049414,22.57006999999999,72457.0,96310,23853.0,75.23,24.206999999999837,5.716799999999602,3.0,87.55,123876.0
CABA,Centro,2028,Proyectado,pesimista,3238418,2067349,22.591112261904758,73159.0,97153,23994.0,75.3,24.197999999999812,4.725599999999576,3.0,96.89999999999999,143823.0
CABA,Centro,2029,Proyectado,pesimista,3266512,2085283,22.604578809523808,73838.0,97995,24157.0,75.35,24.188999999999783,3.73439999999955,3.0,107.1,163768.5
CABA,Centro,2030,Proyectado,pesimista,3294607,2103218,22.61113511904762,74495.0,98838,24343.0,75.37,24.179999999999755,2.743199999999797,3.0,117.3,183714.0
Catamarca,NOA,2025,Proyectado,base,436347,276409,16.819769702380945,7339.0,13090,5751.0,56.07,16.879000000000076,7.407999999999447,1.0,7.0,26087.0
Catamarca,NOA,2026,Proyectado,base,441154,279453,18.067318571428572,7970.0,13235,5265.0,60.22,17.05200000000002,6.529999999999745,1.0,8.0,32569.0
Catamarca,NOA,2027,Proyectado,base,445960,282498,18.52635952380952,8262.0,13379,5117.0,61.75,17.225000000000023,5.651999999999816,1.0,9.0,39050.0
Catamarca,NOA,2028,Proyectado,base,450766,285542,18.62374375,8395.0,13523,5128.0,62.08,17.397999999999968,4.773999999999887,1.0,9.0,45531.0
Catamarca,NOA,2029,Proyectado,base,455572,288587,19.375421428571425,8827.0,13667,4840.0,64.58,17.570999999999913,3.8960000000001855,1.0,10.0,52013.0
Catamarca,NOA,2030,Proyectado,base,460379,291631,19.809227499999995,9120.0,13811,4691.0,66.03,17.743999999999915,3.0180000000002565,1.0,11.0,58494.0
Catamarca,NOA,2015,Histórico,historico,396196,250975,15.52,6149.0,11886,5737.0,51.73,15.1,9.42,2.0,4.0,38.0
Catamarca,NOA,2016,Histórico,historico,401468,254314,16.78,6737.0,12044,5307.0,55.93,15.77,8.91,2.0,4.0,90.0
Catamarca,NOA,2017,Histórico,historico,403554,255636,16.72,6747.0,12107,5360.0,55.73,16.0,8.79,2.0,5.0,98.0
Catamarca,NOA,2018,Histórico,historico,406051,257218,16.18,6570.0,12182,5612.0,53.93,15.57,8.31,2.0,4.0,98.0
Catamarca,NOA,2019,Histórico,historico,410005,259722,15.76,6462.0,12300,5838.0,52.53,15.78,9.13,2.0,6.0,115.0
Catamarca,NOA,2020,Histórico,historico,412593,261362,13.66,5636.0,12378,6742.0,45.53,16.26,11.04,2.0,2.0,326.0
Catamarca,NOA,2021,Histórico,historico,417050,264185,13.35,5568.0,12512,6944.0,44.5,15.84,12.42,2.0,3.0,2.0
Catamarca,NOA,2022,Histórico,historico,421474,266987,15.51,6537.0,12644,6107.0,51.7,16.41,9.44,2.0,4.0,2.0
Catamarca,NOA,2023,Histórico,historico,426751,270330,16.32,6965.0,12803,5838.0,54.4,16.49,8.9,2.0,6.0,302.0
Catamarca,NOA,2024,Histórico,historico,431774,273512,16.67,7198.0,12953,5755.0,55.57,16.8,8.41,1.0,5.0,32583.0
Catamarca,NOA,2025,Proyectado,optimista,436347,276409,16.976594761904757,7408.0,13090,5682.0,56.59,18.566900000000086,7.407999999999447,1.15,10.5,26087.0
Catamarca,NOA,2026,Proyectado,optimista,441154,279453,18.282752380952378,8066.0,13235,5169.0,60.94,18.757200000000026,6.529999999999745,1.15,12.0,32569.0
Catamarca,NOA,2027,Proyectado,optimista,445960,282498,18.70140404761905,8340.0,13379,5039.0,62.34,18.947500000000026,5.651999999999816,1.15,13.5,39050.0
Catamarca,NOA,2028,Proyectado,optimista,450766,285542,18.798527797619055,8474.0,13523,5049.0,62.66,19.137799999999967,4.773999999999887,1.15,13.5,45531.0
Catamarca,NOA,2029,Proyectado,optimista,455572,288587,19.473067142857143,8871.0,13667,4796.0,64.91,19.328099999999907,3.8960000000001855,1.15,15.0,52013.0
Catamarca,NOA,2030,Proyectado,optimista,460379,291631,19.94961845238095,9184.0,13811,4627.0,66.5,19.518399999999907,3.0180000000002565,1.15,16.5,58494.0
Catamarca,NOA,2025,Proyectado,pesimista,436347,276409,16.543634345238097,7219.0,13090,5871.0,55.15,16.879000000000076,8.889599999999335,1.0,5.95,39130.5
Catamarca,NOA,2026,Proyectado,pesimista,441154,279453,16.811210595238098,7416.0,13235,5819.0,56.04,17.05200000000002,7.835999999999694,1.0,6.8,48853.5
Catamarca,NOA,2027,Proyectado,pesimista,445960,282498,18.314995892857144,8168.0,13379,5211.0,61.05,17.225000000000023,6.78239999999978,1.0,7.6499999999999995,58575.0
Catamarca,NOA,2028,Proyectado,pesimista,450766,285542,18.594713333333324,8382.0,13523,5141.0,61.98,17.397999999999968,5.728799999999865,1.0,7.6499999999999995,68296.5
Catamarca,NOA,2029,Proyectado,pesimista,455572,288587,19.362636428571424,8821.0,13667,4846.0,64.54,17.570999999999913,4.675200000000222,1.0,8.5,78019.5
Catamarca,NOA,2030,Proyectado,pesimista,460379,291631,19.8092275,9120.0,13811,4691.0,66.03,17.743999999999915,3.6216000000003077,1.0,9.35,87741.0
Chaco,NEA,2025,Proyectado,base,1152903,733161,15.832244084249076,18253.0,34587,16334.0,52.77,14.230000000000189,8.551999999999907,3.0,22.0,51106.0
Chaco,NEA,2026,Proyectado,base,1163649,739995,16.08666922619048,18719.0,34909,16190.0,53.62,14.374000000000194,7.8279999999999745,4.0,24.0,63510.0
Chaco,NEA,2027,Proyectado,base,1174396,746829,17.635590773809533,20711.0,35232,14521.0,58.79,14.5180000000002,7.104000000000042,4.0,26.0,75913.0
Chaco,NEA,2028,Proyectado,base,1185142,753663,17.77172184523811,21062.0,35554,14492.0,59.24,14.662000000000205,6.380000000000109,4.0,29.0,88316.0
Chaco,NEA,2029,Proyectado,base,1195888,760497,17.747113392857152,21224.0,35877,14653.0,59.16,14.80600000000021,5.656000000000176,5.0,31.0,100720.0
Chaco,NEA,2030,Proyectado,base,1206635,767330,17.83611196428573,21522.0,36199,14677.0,59.45,14.950000000000216,4.932000000000244,5.0,33.0,113123.0
Chaco,NEA,2015,Histórico,historico,1058730,673275,15.25,16146.0,31762,15616.0,50.83,12.56,10.76,1.0,16.0,158.0
Chaco,NEA,2016,Histórico,historico,1060588,674456,16.54,17542.0,31818,14276.0,55.13,13.15,8.16,1.0,17.0,371.0
Chaco,NEA,2017,Histórico,historico,1065714,677716,15.47,16487.0,31971,15484.0,51.57,13.07,9.25,1.0,12.0,382.0
Chaco,NEA,2018,Histórico,historico,1088380,692130,15.63,17011.0,32651,15640.0,52.1,13.38,9.23,1.0,11.0,1478.0
Chaco,NEA,2019,Histórico,historico,1101252,700316,15.02,16541.0,33038,16497.0,50.07,13.61,7.98,1.0,16.0,120.0
Chaco,NEA,2020,Histórico,historico,1101389,700403,12.84,14142.0,33042,18900.0,42.8,13.33,12.15,1.0,9.0,3039.0
Chaco,NEA,2021,Histórico,historico,1106190,703456,12.78,14137.0,33186,19049.0,42.6,13.51,12.14,2.0,11.0,4.0
Chaco,NEA,2022,Histórico,historico,1121623,713270,14.8,16600.0,33649,17049.0,49.33,14.27,9.5,2.0,19.0,614.0
Chaco,NEA,2023,Histórico,historico,1131800,719742,15.44,17475.0,33954,16479.0,51.47,14.15,10.46,2.0,18.0,1530.0
Chaco,NEA,2024,Histórico,historico,1142316,726429,15.68,17912.0,34269,16357.0,52.27,13.73,9.37,3.0,17.0,64293.0
Chaco,NEA,2025,Proyectado,optimista,1152903,733161,16.15413844932845,18624.0,34587,15963.0,53.85,15.653000000000208,8.551999999999907,3.4499999999999997,33.0,51106.0
Chaco,NEA,2026,Proyectado,optimista,1163649,739995,16.4041120436508,19089.0,34909,15820.0,54.68,15.811400000000216,7.8279999999999745,4.6,36.0,63510.0
Chaco,NEA,2027,Proyectado,optimista,1174396,746829,17.770957400793662,20870.0,35232,14362.0,59.24,15.969800000000221,7.104000000000042,4.6,39.0,75913.0
Chaco,NEA,2028,Proyectado,optimista,1185142,753663,17.930095138888905,21250.0,35554,14304.0,59.77,16.128200000000227,6.380000000000109,4.6,43.5,88316.0
Chaco,NEA,2029,Proyectado,optimista,1195888,760497,17.885554603174615,21389.0,35877,14488.0,59.62,16.286600000000234,5.656000000000176,5.75,46.5,100720.0
Chaco,NEA,2030,Proyectado,optimista,1206635,767330,17.89067793650795,21588.0,36199,14611.0,59.64,16.44500000000024,4.932000000000244,5.75,49.5,113123.0
Chaco,NEA,2025,Proyectado,pesimista,1152903,733161,15.317722916666664,17660.0,34587,16927.0,51.06,14.230000000000189,10.262399999999888,3.0,18.7,76659.0
Chaco,NEA,2026,Proyectado,pesimista,1163649,739995,15.587816904761905,18139.0,34909,16770.0,51.96,14.374000000000194,9.393599999999969,4.0,20.4,95265.0
Chaco,NEA,2027,Proyectado,pesimista,1174396,746829,15.89398386904762,18666.0,35232,16566.0,52.98,14.5180000000002,8.52480000000005,4.0,22.099999999999998,113869.5
Chaco,NEA,2028,Proyectado,pesimista,1185142,753663,16.20269994047619,19203.0,35554,16351.0,54.01,14.662000000000205,7.65600000000013,4.0,24.65,132474.0
Chaco,NEA,2029,Proyectado,pesimista,1195888,760497,17.560983392857146,21001.0,35877,14876.0,58.54,14.80600000000021,6.787200000000212,5.0,26.349999999999998,151080.0
Chaco,NEA,2030,Proyectado,pesimista,1206635,767330,17.821949464285726,21505.0,36199,14694.0,59.41,14.950000000000216,5.918400000000292,5.0,28.05,169684.5
Chubut,Patagonia,2025,Proyectado,base,608660,385850,23.09539928571429,14057.0,18260,4203.0,76.98,21.702000000000112,4.302999999999656,5.0,13.0,164.0
Chubut,Patagonia,2026,Proyectado,base,613802,389110,23.172272619047625,14223.0,18414,4191.0,77.24,22.1640000000001,3.6499999999998636,5.0,15.0,203.0
Chubut,Patagonia,2027,Proyectado,base,618945,392370,23.1687542857143,14340.0,18568,4228.0,77.23,22.62600000000009,2.9969999999998436,6.0,17.0,242.0
Chubut,Patagonia,2028,Proyectado,base,624088,395630,23.159187619047625,14453.0,18723,4270.0,77.2,23.087999999999965,2.344000000000051,7.0,19.0,282.0
Chubut,Patagonia,2029,Proyectado,base,629230,398890,23.15746678571429,14571.0,18877,4306.0,77.19,23.549999999999955,1.691000000000031,7.0,21.0,321.0
Chubut,Patagonia,2030,Proyectado,base,634373,402151,23.114981190476197,14664.0,19031,4367.0,77.05,24.01199999999983,1.038000000000011,8.0,23.0,361.0
Chubut,Patagonia,2015,Histórico,historico,555850,352372,21.77,12101.0,16676,4575.0,72.57,18.98,6.05,2.0,3.0,1.0
Chubut,Patagonia,2016,Histórico,historico,563806,357416,22.96,12945.0,16914,3969.0,76.53,19.34,5.9,2.0,5.0,2.0
Chubut,Patagonia,2017,Histórico,historico,569577,361074,22.99,13095.0,17087,3992.0,76.63,19.07,6.69,2.0,8.0,2.0
Chubut,Patagonia,2018,Histórico,historico,570977,361962,23.12,13201.0,17129,3928.0,77.07,19.98,5.62,2.0,8.0,5.0
Chubut,Patagonia,2019,Histórico,historico,579993,367677,23.01,13346.0,17400,4054.0,76.7,19.95,6.85,2.0,6.0,4.0
Chubut,Patagonia,2020,Histórico,historico,581949,368917,18.38,10696.0,17458,6762.0,61.27,19.4,7.76,2.0,3.0,2.0
Chubut,Patagonia,2021,Histórico,historico,590213,374156,19.39,11444.0,17706,6262.0,64.63,19.61,7.06,2.0,5.0,5.0
Chubut,Patagonia,2022,Histórico,historico,592242,375442,22.79,13497.0,17767,4270.0,75.97,20.65,5.83,3.0,8.0,6.0
Chubut,Patagonia,2023,Histórico,historico,597975,379077,23.04,13777.0,17939,4162.0,76.8,20.81,5.27,4.0,12.0,20.0
Chubut,Patagonia,2024,Histórico,historico,603781,382757,23.72,14322.0,18113,3791.0,79.07,21.11,5.39,4.0,9.0,192.0
Chubut,Patagonia,2025,Proyectado,optimista,608660,385850,23.047252857142865,14028.0,18260,4232.0,76.82,23.872200000000124,4.302999999999656,5.75,19.5,164.0
Chubut,Patagonia,2026,Proyectado,optimista,613802,389110,23.13373035714286,14200.0,18414,4214.0,77.11,24.38040000000011,3.6499999999998636,5.75,22.5,203.0
Chubut,Patagonia,2027,Proyectado,optimista,618945,392370,23.130402023809523,14316.0,18568,4252.0,77.1,24.8886000000001,2.9969999999998436,6.8999999999999995,25.5,242.0
Chubut,Patagonia,2028,Proyectado,optimista,624088,395630,23.12083535714286,14429.0,18723,4294.0,77.07,25.396799999999963,2.344000000000051,8.049999999999999,28.5,282.0
Chubut,Patagonia,2029,Proyectado,optimista,629230,398890,23.12392702380953,14550.0,18877,4327.0,77.08,25.90499999999995,1.691000000000031,8.049999999999999,31.5,321.0
Chubut,Patagonia,2030,Proyectado,optimista,634373,402151,23.120552023809537,14667.0,19031,4364.0,77.07,26.413199999999815,1.038000000000011,9.2,34.5,361.0
Chubut,Patagonia,2025,Proyectado,pesimista,608660,385850,23.107869841269846,14065.0,18260,4195.0,77.03,21.702000000000112,5.163599999999588,5.0,11.049999999999999,246.0
Chubut,Patagonia,2026,Proyectado,pesimista,613802,389110,23.173520952380954,14224.0,18414,4190.0,77.25,22.1640000000001,4.3799999999998365,5.0,12.75,304.5
Chubut,Patagonia,2027,Proyectado,pesimista,618945,392370,23.164662619047622,14338.0,18568,4230.0,77.22,22.62600000000009,3.596399999999812,6.0,14.45,363.0
Chubut,Patagonia,2028,Proyectado,pesimista,624088,395630,23.159212619047622,14453.0,18723,4270.0,77.2,23.087999999999965,2.812800000000061,7.0,16.15,423.0
Chubut,Patagonia,2029,Proyectado,pesimista,629230,398890,23.15746678571429,14571.0,18877,4306.0,77.19,23.549999999999955,2.029200000000037,7.0,17.849999999999998,481.5
Chubut,Patagonia,2030,Proyectado,pesimista,634373,402151,23.114981190476197,14664.0,19031,4367.0,77.05,24.01199999999983,1.2456000000000131,8.0,19.55,541.5
Corrientes,NEA,2025,Proyectado,base,1223799,772279,17.62900053030304,21574.0,36714,15140.0,58.76,14.51300000000009,6.963999999999487,3.0,28.0,26089.0
Corrientes,NEA,2026,Proyectado,base,1234418,778980,17.818759339826858,21996.0,37033,15037.0,59.4,14.696000000000083,5.601999999999862,3.0,33.0,32301.0
Corrientes,NEA,2027,Proyectado,base,1245037,785681,17.831255470779237,22201.0,37351,15150.0,59.44,14.879000000000019,4.239999999999782,3.0,37.0,38513.0
Corrientes,NEA,2028,Proyectado,base,1255656,792383,18.055886309523824,22672.0,37670,14998.0,60.19,15.062000000000012,2.8780000000001564,3.0,41.0,44725.0
Corrientes,NEA,2029,Proyectado,base,1266275,799084,18.132843452380964,22961.0,37988,15027.0,60.44,15.245000000000005,1.5160000000000764,3.0,45.0,50937.0
Corrientes,NEA,2030,Proyectado,base,1276894,805785,18.135347261904773,23157.0,38307,15150.0,60.45,15.427999999999997,1.0,3.0,49.0,57148.0
Corrientes,NEA,2015,Histórico,historico,1116311,704449,14.31,15974.0,33489,17515.0,47.7,12.99,10.95,3.0,17.0,249.0
Corrientes,NEA,2016,Histórico,historico,1126686,710996,16.17,18219.0,33801,15582.0,53.9,13.68,9.34,3.0,18.0,87.0
Corrientes,NEA,2017,Histórico,historico,1141620,720421,15.26,17421.0,34249,16828.0,50.87,13.53,9.46,3.0,18.0,334.0
Corrientes,NEA,2018,Histórico,historico,1149091,725135,15.37,17662.0,34473,16811.0,51.23,13.52,9.83,3.0,13.0,252.0
Corrientes,NEA,2019,Histórico,historico,1165619,735565,15.4,17951.0,34969,17018.0,51.33,13.52,8.58,3.0,19.0,220.0
Corrientes,NEA,2020,Histórico,historico,1168311,737264,12.21,14265.0,35049,20784.0,40.7,13.69,13.41,3.0,9.0,2519.0
Corrientes,NEA,2021,Histórico,historico,1184073,747211,12.76,15109.0,35522,20413.0,42.53,13.37,14.11,3.0,7.0,24.0
Corrientes,NEA,2022,Histórico,historico,1191506,751901,15.72,18730.0,35745,17015.0,52.4,14.2,9.88,3.0,19.0,1.0
Corrientes,NEA,2023,Histórico,historico,1204748,760258,16.24,19565.0,36142,16577.0,54.13,14.54,8.39,3.0,21.0,2272.0
Corrientes,NEA,2024,Histórico,historico,1211069,764246,15.64,18941.0,36332,17391.0,52.13,14.02,9.46,3.0,23.0,32454.0
Corrientes,NEA,2025,Proyectado,optimista,1223799,772279,17.741990292207802,21713.0,36714,15001.0,59.14,15.964300000000101,6.963999999999487,3.4499999999999997,42.0,26089.0
Corrientes,NEA,2026,Proyectado,optimista,1234418,778980,17.938535292207806,22144.0,37033,14889.0,59.8,16.165600000000094,5.601999999999862,3.4499999999999997,49.5,32301.0
Corrientes,NEA,2027,Proyectado,optimista,1245037,785681,17.942827256493516,22339.0,37351,15012.0,59.81,16.366900000000022,4.239999999999782,3.4499999999999997,55.5,38513.0
Corrientes,NEA,2028,Proyectado,optimista,1255656,792383,18.07305797619049,22694.0,37670,14976.0,60.24,16.568200000000015,2.8780000000001564,3.4499999999999997,61.5,44725.0
Corrientes,NEA,2029,Proyectado,optimista,1266275,799084,18.147578452380962,22980.0,37988,15008.0,60.49,16.769500000000008,1.5160000000000764,3.4499999999999997,67.5,50937.0
Corrientes,NEA,2030,Proyectado,optimista,1276894,805785,18.1548530952381,23182.0,38307,15125.0,60.52,16.970799999999997,1.0,3.4499999999999997,73.5,57148.0
Corrientes,NEA,2025,Proyectado,pesimista,1223799,772279,15.89368800740927,19451.0,36714,17263.0,52.98,14.51300000000009,8.356799999999383,3.0,23.8,39133.5
Corrientes,NEA,2026,Proyectado,pesimista,1234418,778980,17.63977219696971,21775.0,37033,15258.0,58.8,14.696000000000083,6.722399999999834,3.0,28.05,48451.5
Corrientes,NEA,2027,Proyectado,pesimista,1245037,785681,17.835128387445902,22205.0,37351,15146.0,59.45,14.879000000000019,5.087999999999738,3.0,31.45,57769.5
Corrientes,NEA,2028,Proyectado,pesimista,1255656,792383,18.055886309523824,22672.0,37670,14998.0,60.19,15.062000000000012,3.4536000000001876,3.0,34.85,67087.5
Corrientes,NEA,2029,Proyectado,pesimista,1266275,799084,18.132843452380964,22961.0,37988,15027.0,60.44,15.245000000000005,1.8192000000000916,3.0,38.25,76405.5
Corrientes,NEA,2030,Proyectado,pesimista,1276894,805785,18.13534726190477,23157.0,38307,15150.0,60.45,15.427999999999997,1.2,3.0,41.65,85722.0
Córdoba,Centro,2025,Proyectado,base,3881669,2462442,22.498180992063485,87330.0,116450,29120.0,74.99,23.78100000000005,5.69899999999916,4.0,113.0,248272.0
Córdoba,Centro,2026,Proyectado,base,3918081,2485541,22.5555228968254,88374.0,117542,29168.0,75.19,23.83800000000005,4.633999999999105,5.0,132.0,309965.0
Córdoba,Centro,2027,Proyectado,base,3954493,2508640,22.646714861111114,89556.0,118635,29079.0,75.49,23.895000000000053,3.5689999999995052,5.0,151.0,371658.0
Córdoba,Centro,2028,Proyectado,base,3990905,2531739,22.695249384920636,90575.0,119727,29152.0,75.65,23.95200000000007,2.5039999999994507,5.0,171.0,433351.0
